user_id,time_stamp,experiment_group,purchase,ad_exposure_count,peak_exposure_day,peak_exposure_hour,new_customer,device_type,traffic_source,sessions_7d,pageviews_session,time_on_site_sec,product_page_views,add_to_cart,banner_shown,banner_click,order_value_gbp,gender,age,region,education
338289,2024-02-05 14:20:27,control,0,1.0,Monday,15.0,1,desktop,paid_search,4,7.0,83.21929427438906,0.0,0,0,0,,male,41.0,North,college
106581,2024-02-26 11:36:15,control,0,33.0,Saturday,11.0,1,desktop,organic,2,7.0,155.25540005045568,2.0,0,1,0,,female,32.0,South,college
473972,2024-02-05 08:54:34,control,0,26.0,Thursday,14.0,1,desktop,organic,3,7.0,210.981722470034,2.0,0,1,0,,female,32.0,Midlands,high_school
441393,2024-02-16 01:46:43,variant,0,1.0,Tuesday,22.0,0,desktop,paid_search,0,6.0,175.46143144002048,2.0,0,1,0,,male,73.0,North,college
654397,2024-02-13 20:48:32,variant,0,3.0,Sunday,17.0,1,mobile,organic,1,5.0,83.4637345612731,4.0,0,0,0,,male,34.0,North,graduate
408339,2024-02-22 08:30:24,variant,0,24.0,Friday,9.0,1,tablet,paid_search,4,2.0,86.52643949441433,2.0,0,0,0,,male,27.0,London,college
487052,2024-02-16 12:42:43,variant,0,9.0,Wednesday,8.0,1,desktop,organic,1,,41.21114483256068,1.0,0,0,0,,male,55.0,South,high_school
838386,2024-02-12 06:48:15,variant,0,6.0,Tuesday,,1,mobile,social,1,4.0,126.9890480916281,1.0,0,1,0,,male,60.0,North,graduate
315456,2024-01-27 15:24:07,control,0,98.0,Saturday,12.0,0,desktop,paid_search,2,10.0,284.6339387136296,0.0,0,1,0,,female,53.0,Midlands,high_school
670834,2024-01-26 08:12:49,control,0,21.0,Saturday,14.0,1,desktop,paid_search,3,5.0,169.2028848489107,0.0,0,1,0,,female,33.0,Midlands,postgraduate
814009,2024-01-02 19:56:08,control,0,13.0,Tuesday,1.0,1,tablet,organic,1,13.0,71.73187269709723,1.0,0,1,0,,female,19.0,London,graduate
320934,2024-01-29 20:00:56,control,0,1.0,Thursday,10.0,0,mobile,social,1,5.0,68.65311999925339,3.0,0,0,0,,female,33.0,South,college
642680,2024-01-24 13:57:49,variant,0,7.0,Sunday,11.0,1,mobile,paid_search,3,6.0,86.11899823287983,0.0,0,1,0,,male,51.0,Midlands,college
13099,2024-01-18 09:32:29,control,0,32.0,Saturday,,1,mobile,paid_search,1,6.0,123.47094148172052,1.0,0,0,0,,female,40.0,South,postgraduate
796327,2024-02-26 03:32:04,variant,0,6.0,Wednesday,12.0,1,mobile,organic,1,7.0,200.26545695010552,1.0,1,1,1,,male,48.0,London,college
313095,2024-02-22 07:10:43,variant,0,27.0,Saturday,9.0,0,tablet,email,2,8.0,184.1259805735034,0.0,0,1,0,,male,47.0,South,college
34008,2024-01-05 09:54:46,control,0,16.0,Saturday,16.0,1,mobile,paid_search,0,11.0,105.70046043507104,,0,1,0,,female,28.0,London,college
384143,2024-01-04 13:35:48,variant,1,100.0,,,1,desktop,organic,1,10.0,21.94694590755722,1.0,0,1,0,83.07375615220161,male,65.0,South,high_school
563404,2024-02-11 02:28:58,control,0,1.0,Thursday,8.0,0,mobile,paid_search,1,5.0,73.57928146677446,3.0,0,0,0,,female,34.0,Wales,graduate
171354,2024-02-12 11:39:07,control,0,30.0,Tuesday,22.0,1,desktop,social,4,8.0,221.70477332930489,0.0,0,0,0,,female,34.0,London,graduate
852536,2024-02-09 07:38:43,variant,0,14.0,Monday,9.0,1,desktop,paid_search,0,9.0,71.38439737871086,2.0,0,1,0,,male,38.0,Midlands,graduate
708137,2024-02-23 18:02:44,control,0,1.0,Friday,20.0,0,mobile,organic,3,8.0,122.03462708444042,4.0,0,0,0,,female,53.0,Midlands,college
126070,2024-02-09 07:49:50,variant,0,30.0,Saturday,10.0,0,desktop,email,2,5.0,249.71843709016244,1.0,0,0,0,,male,33.0,Wales,college
570012,2024-02-23 21:10:46,variant,0,1.0,Friday,14.0,1,tablet,social,0,8.0,218.2097154060013,1.0,0,0,0,,other,36.0,North,college
7690,2024-02-24 04:31:29,variant,0,63.0,Thursday,16.0,1,desktop,social,1,6.0,179.20454823677647,0.0,0,1,0,,male,18.0,North,graduate
254644,2024-02-19 11:56:21,control,0,5.0,Wednesday,12.0,1,mobile,paid_search,2,2.0,333.8651396798851,0.0,0,1,0,,female,,North,high_school
474448,2024-02-26 02:22:35,control,0,13.0,Wednesday,10.0,1,mobile,paid_search,1,8.0,138.52651016209867,1.0,0,1,0,,female,41.0,South,high_school
470290,2024-02-13 15:20:49,control,0,300.0,Wednesday,,1,mobile,,2,8.0,354.0860306897426,3.0,0,1,0,,female,51.0,North,college
77036,2024-02-28 21:13:31,variant,0,14.0,,,0,mobile,organic,0,9.0,189.1354025470843,1.0,1,0,0,,male,55.0,North,postgraduate
772403,2024-01-23 09:28:59,variant,0,1.0,Friday,22.0,1,mobile,organic,1,7.0,206.97306002129952,3.0,0,1,0,,male,46.0,South,college
487582,2024-01-13 19:59:48,variant,0,5.0,Saturday,15.0,0,mobile,paid_search,2,4.0,369.44158475247815,2.0,0,1,0,,male,39.0,Midlands,high_school
151399,2024-02-16 23:16:07,control,0,10.0,Friday,19.0,0,mobile,social,3,4.0,64.55652974492965,1.0,0,1,0,,female,49.0,North,college
778085,2024-01-24 23:50:01,control,0,23.0,Tuesday,11.0,1,desktop,paid_search,3,6.0,81.5633683220919,1.0,0,1,0,,,62.0,North,high_school
680411,2024-01-07 08:00:42,control,0,3.0,Monday,15.0,1,mobile,email,3,11.0,17.745259365596475,0.0,0,1,0,,,60.0,London,
248748,2024-02-06 11:13:20,control,0,39.0,Tuesday,11.0,1,tablet,organic,3,11.0,117.931027248596,2.0,0,1,0,,female,39.0,North,
768787,2024-02-04 20:04:54,control,0,59.0,Wednesday,11.0,1,mobile,paid_search,5,10.0,181.48948046689844,1.0,0,0,0,,female,18.0,South,high_school
